第26课			
すいえい	水泳	游泳	
～とか、～とか		～或、～等	
タンゴ		探戈	
チャレンジします		挑战	
きもち	気持ち	心情、情绪	
読み物			
のりもの	乗り物	交通工具	
れきし	歴史	历史	
～せいき	～世紀		
とおく	遠く	远、远处	
きしゃ	汽車	火车	
きせん	汽船	汽船	
おおぜいの～	大勢の～	很多的（人）	
はこぶ	運ぶ	运送	
とぶ	飛ぶ	飞、飞翔	
あんぜん「だ」	安全「だ」	安全的	
うちゅう	宇宙		
ちきゅう	地球		
ライトきょうだい	ライト兄弟	莱特兄弟	
第37课			
ほめる	褒める	表扬	
しかる	叱る	批评	
さそう	誘う	邀请	
おこす	起こす	叫醒	
しょうたいする	招待する	招待	
たのむ	頼む	请求、要求、拜托	
ちゅういする	注意する	提醒、警告	
とる	取る	抢、偷	
ふむ	踏む	踩	
こわす	壊す	弄坏、弄碎	
よごす	汚す	弄脏	
おこなう	行う	举行	
ゆしゅつする	輸出する	出口	
ゆにゅうする	輸入する	进口	
ほんやくする	翻訳する	翻译	
はつめいする	発明する	发明	
せっけいする	設計する	设计、规划	
こめ	米	大米	
むぎ	麦	麦子	
せきゆ	石油	石油	
げんりょう	原料	原料	
デート	Date	约会	
どろぼう	泥棒	小偷、强盗	
けいかん	警官	警察	
けんちくか	建築家	建筑师	
かがくしゃ	科学者	科学家	
まんが	漫画	漫画、卡通、连环画	
せかいじゅう	世界中	全世界	
～じゅう	~中	全～、整个～	
～に　よって		根据～、由～	
よかったですね		太好了、太棒了	
ドミニカ		多米尼加共和国	
サウジアラビア		沙特阿拉伯	
会　話			
うめたてる	埋め立てる	填埋	
ぎじゅつ	技術	技术	
とち	土地	土地	
そうおん	騒音	噪音	
りようする	利用する	利用、用	
アクセス	Access	通路、方法	
読み物			
～せいき	～世紀	～世纪	
ごうか（だ）	豪華（だ）	豪华	
ちょうこく	彫刻	雕刻	
ねむる	眠る	睡	
はる		雕	
なかま	仲間	朋友、友人、伙伴儿	
そのあと		之后、然后	
いっしょうけんめい	一生懸命	拼命	
ねずみ	鼠	老鼠	
いっぴきもいません	一匹もいません	一只也没有	
ねむりねこ	眠り猫	熟睡的猫	
第38课			
そだてる	育てる	养育、抚育、抚养	
はこぶ	運ぶ	运送	
なくなる	亡くなる	去世	
にゅういんする	入院する	住院	
たいいんする	退院する	出院	
いれる	入れる	打开	
「でんげんを～」	「電源を～」	打开【电源】	
きる	切る　　　　　　　　（５）	切、切断	
「でんげんを～」	「電源を～」	切断【电源】	
かける	掛ける	锁	
「かぎを～」	「鍵を～」	锁上【锁】	
きもちがいい	気持ちがいい	舒服、舒畅	
きもちがわるい	気持ちが悪い	不舒服、不舒畅	
おおきな～	大きな～	大的～	
ちいさな～	小さな～	小的～	
あかちゃん	赤ちゃん	婴儿	
しょうがっこう	小学校	小学	
ちゅうがっこう	中学校	中学	
えきまえ	駅前	车站前	
かいがん	海岸	海岸、海滩	
うそ	嘘	撒谎、谎言	
しょるい	書類	文件	
でんげん	電源	电源	
～せい	～製	～制造	
「あ、」いけない		【噢】糟了、不好	
おさきに「しつれいする	お先に「失礼する」	我先～	
会話			
かいらん	回覧	传阅	
けんきゅうしつ	研究室	研究室	
きちんと		整洁的、整齐的、很好的	
せいりします	整理します	整理、收拾	
～と　いう　ほん	～と　いう　ほん	一本叫～的书	
～さつ	～冊	～本	
はんこ		印章	
おす	押す	盖	
「はんこを～」		盖章	
読み物			
ふたご	双子	孪生子	
しまい	姉妹	姐妹	
にている	似ている	相像、相似	
せいかく	性格		
おとなしい	大人しい	文静的、老实的、安静的	
せわ　をする	世話をする	照顾	
			
じかん　が　たつ	時間が経つ	时间流逝	
だいすき	大好き	很喜欢的	
～てん	～点	～分	
クラス		班、班级	
けんかする	喧嘩する	吵架、打架	
ふしぎ	不思議（だ）	不可思议的	
第39课			
こたえる	答える	回答	
「しつもんに～」	「質問に～」	回答【问题】	
たおれる	倒れる	倒塌	
「ビルが～」	[Buildingが～」	【大楼】倒塌	
やける	焼ける	着火、燃烧	
「うちが～」	「家が～」	【房屋】着火	
「パンが～」	「Panが～」	烤【面包】	
「にくが～」	「肉が～」	烤【肉】	
とおる	通る	通过	
「みちを～」	「道を～」	痛过【街道】	
しぬ	死ぬ	死	
びっくりする	吃驚する	吃惊	
がっかりする	がっかりする	失望	
あんしんする	安心する	安心、放心	
ちこくする	遅刻する	迟到	
けんかする	喧嘩する	早退	
りこんする	離婚する	吵架	
ふくざつ	複雑（だ）	离婚	
じゃま	邪魔（だ）	复杂的	
きたない	汚い	肮脏的	
うれしい	嬉しい	高兴的	
かなしい	悲しい	悲伤的	
はずかしい	恥ずかしい	可耻的、害羞的	
じしん	地震		
たいふう	台風		
かじ	火事	火灾	
じこ	事故		
「お」みあい	「お」見合い	相亲	
でんわだい	電話代	电话费	
～だい	～代	～费	
フロント	Front	前台、问询	
～ごうしつ	～号室	～号房间	
あせ	汗		
タオル	Towel	毛巾	
せっけん	石鹸	肥皂、香皂	
おおぜい	大勢	许多人	
おつかれさまでした	おつかれさまでした	您辛苦了（一般用于同事或上对下）	
うかがいます	伺います	去、拜访（行く的自谦说法）	
会話			
とちゅうで	途中で	途中、路上、半途	
トラック	Track	卡车	
ぶつかる	ぶつかる	碰、撞	
ならぶ	並ぶ	排队、并排	
読み物			
おとな	おとな	成年人	
ようふく	洋服	西式服装	
せいようかする	西洋化する	西化	
あう	合う	适合、合适	
いまでは	今では	现在	
せいじんしき	成人式	成人仪式	
第40课			
かぞえる	数える	数	
はかる	計る、量る	量、称	
たしかめる	確かめる	确认	
あう	合う	符合	
「サイズが～」	「Sizeが～」	【尺寸】符合	
しゅっぱつする	出発する	出发	
とうちゃくする	到着する	到达	
よう	酔う	喝醉	
きけん「な」	危険「な」	危险的	
ひつよう「な」	必要「な」	必要的	
うちゅう	宇宙		
ちきゅう	地球		
ぼうねんかい	忘年会	辞旧迎新会	
しんねんかい	新年会	新年联欢会	
にじかい	二次会	二次聚会	
たいかい	大会		
マラソン	Marathon	马拉松	
コンテスト	Contest	比赛、竞赛	
おもて	表	表面、正面	
うら	裏	背面、里面	
へんじ	返事	回答、答复	
もうしこみ	申し込み	申请	
ほんとう	本当	真的、事实	
まちがい	間違い	错、错误	
きず	傷	伤、缺陷	
ズボン	Jupon	裤子	
ながさ	長さ	长度	
おもさ	重さ	重量	
たかさ	高さ	高度	
おおきさ	大きさ	大小	
～びん	～便	～航班	
～ごう	～号	～次（火车车次等）	
～こ	～個	～个（数小件物品的量词）	
～ほん（～ぽん、～ばん）	～本	～枝、条（数细长物品的量词）	
～はい（～ぱい、～ばい）	～杯	～杯	
～キロ	～Kilo	～公斤、公里	
～グラム	～Gram	～克	
～センチ	～Centy	～厘米	
～ミリ	～Mili	～毫米	
～いじょう	～以上	～以上、不少于～、超过～	
～いか	～以下	～以下、不多于～、低于～	
さあ		喂、	
会話			
どうでしょうか		～怎么样？	
クラス	Class	班级	
テスト	Test	考试、测试	
せいせき	成績		
ところで		（转化话题）可是	
いらっしゃいます		来（来ます的尊敬语）	
ようす	様子	情况、情形、样子	
読み物			
じけん	事件		
オートバイ		摩托车	
ばくだん	爆弾	炸弹	
つむ	積む	堆积起来、装	
うんてんしゅ	運転手	司机	
はなれた	離れた	相距	
が		但是	
きゅうに	急に	突然	
うごかす	動かす	移动、开动、变动	
いっしょけんめい	一所懸命	拼命	
はんにん	犯人		
てにいれる	手に入れる	到手、得到	
いまでも	今でも	现在就	
うわさする	噂する	谣传	
第41课			
